09:25:28.032 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.demo.DemoApplicationTests], using SpringBootContextLoader
09:25:28.038 [main] INFO  o.s.t.c.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.demo.DemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
09:25:28.038 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.demo.DemoApplicationTests]: DemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
09:25:28.129 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.demo.DemoApplication for test class com.example.demo.DemoApplicationTests
09:25:28.218 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
09:25:28.237 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@37654521, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@15aab8c6, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@33990a0c, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4de4b452, org.springframework.test.context.support.DirtiesContextTestExecutionListener@50b5ac82, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@101952da, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6babf3bf, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3059cbc, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7ea9e1e2, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@24fcf36f]
09:25:28.518 [main] INFO  com.example.demo.DemoApplicationTests - Starting DemoApplicationTests on HP with PID 11860 (started by Administrator in D:\wokspace\dubbo-zipkin\Springboot-Zipkin1)
09:25:28.520 [main] INFO  com.example.demo.DemoApplicationTests - No active profile set, falling back to default profiles: default
09:25:30.025 [main] INFO  o.s.s.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
09:25:30.238 [main] INFO  com.example.demo.DemoApplicationTests - Started DemoApplicationTests in 1.966 seconds (JVM running for 2.795)
09:25:30.411 [Thread-2] INFO  o.s.s.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
